N2O/(N2O+N2)	O18	SP
0.7275232082421	20.17	2.28
0.128485912266866	50.08	3.75
0.118316840861433	57.91	13.81
0.658987877783835	25.95	1.34
0.332148084073767	40.45	3.19
0.234259909683667	47.44	6.26
0.150447627238233	42.06682581	10.7793184
0.8799345713083	21.86815497	8.158218882
0.820565693618468	19.87034829	7.361559121
0.715166177999333	19.65386769	6.363727323
0.784370734543332	20.11878555	5.35869733
0.819918114200333	20.38784001	3.312405693
0.831836524872933	20.91357861	2.632157806
0.816041814774732	22.37327637	0.828292092
0.754433818774634	23.98966485	0.419606723
0.705912605234199	26.12973021	0.101882819
0.504877804455466	36.76305111	0.82539393
0.3527561040843	40.77103479	2.087974988
0.2565166087515	39.76594629	4.189780581
0.200263261345766	41.11946547	4.516860589
0.215949547008967	40.60403547	6.632316966
0.169460178896233	41.99260389	6.402483599
0.1246904650325	40.98957711	6.906333784
0.1410601593005	41.50809969	7.564914365
0.162225222957133	40.66073277	7.482116735
0.228077806308366	35.22397713	8.261971239
0.354009890603699	34.84874409	7.321244885
0.177980240252433	38.10213825	6.14023274
0.0919600261025	42.05548635	6.796865108
0.222027953929833	32.82207333	6.704708996
0.537332413390199	21.40220625	6.225543709
0.530064936110267	19.67757747	6.306968338
0.564896951032166	18.59620533	5.850777131
0.625258180162967	19.78684863	3.862378652
0.652973939207535	18.98793213	1.291169747
0.601780609624	23.35774767	-0.527667011
0.459067733892966	27.61107603	-2.612966868
0.622247683153032	30.55933563	-1.67792684
0.246077937102333	43.41828327	0.22949835
